iter	Passed	Remaining
407	5216	7569
408	5226	7552
409	5237	7537
410	5249	7523
411	5261	7508
412	5271	7493
413	5284	7479
414	5295	7464
415	5309	7453
416	5322	7441
417	5335	7429
418	5348	7416
419	5365	7409
420	5377	7396
421	5391	7384
422	5402	7368
423	5413	7354
424	5427	7342
425	5438	7328
426	5450	7314
427	5461	7298
428	5473	7285
429	5485	7271
430	5496	7256
431	5506	7240
432	5519	7227
433	5530	7212
434	5543	7199
435	5557	7188
436	5567	7173
437	5579	7159
438	5590	7143
439	5603	7131
440	5616	7119
441	5628	7105
442	5640	7091
443	5651	7077
444	5663	7063
445	5674	7049
446	5685	7034
447	5698	7021
448	5711	7008
449	5724	6996
450	5734	6980
451	5745	6965
452	5757	6951
453	5768	6937
454	5781	6925
455	5792	6910
456	5804	6896
457	5816	6882
458	5828	6869
459	5841	6857
460	5853	6843
461	5865	6830
462	5875	6814
463	5886	6799
464	5897	6785
465	5910	6772
466	5921	6758
467	5932	6743
468	5943	6729
469	5955	6716
470	5967	6702
471	5980	6689
472	5994	6679
473	6009	6668
474	6021	6655
475	6032	6640
476	6043	6626
477	6053	6610
478	6065	6596
479	6076	6582
480	6088	6569
481	6101	6557
482	6116	6546
483	6126	6532
484	6138	6518
485	6149	6504
486	6162	6491
487	6174	6478
488	6186	6464
489	6199	6452
490	6210	6438
491	6221	6423
492	6232	6409
493	6245	6396
494	6257	6384
495	6268	6369
496	6281	6357
497	6294	6344
498	6305	6330
499	6317	6317
500	6328	6303
501	6342	6291
502	6354	6279
503	6368	6267
504	6417	6290
505	6441	6288
506	6452	6274
507	6463	6259
508	6474	6245
509	6485	6231
510	6498	6218
511	6508	6203
512	6520	6190
513	6532	6177
514	6544	6163
515	6558	6151
516	6571	6138
517	6583	6125
518	6594	6111
519	6606	6098
520	6618	6085
521	6630	6072
522	6643	6059
523	6655	6045
524	6669	6034
525	6682	6022
526	6695	6009
527	6707	5995
528	6718	5981
529	6731	5969
530	6748	5960
531	6760	5947
532	6774	5935
533	6787	5922
534	6799	5909
535	6814	5898
536	6825	5885
537	6839	5873
538	6853	5861
539	6865	5848
540	6877	5834
541	6890	5822
542	6903	5810
543	6916	5797
544	6927	5783
545	6933	5765
546	6946	5752
547	6957	5739
548	6971	5726
549	6983	5713
550	6993	5698
551	7003	5684
552	7013	5669
553	7024	5655
554	7035	5641
555	7047	5627
556	7058	5613
557	7070	5600
558	7082	5587
559	7093	5573
560	7104	5559
561	7115	5545
562	7124	5529
563	7134	5515
564	7147	5502
565	7158	5488
566	7170	5475
567	7180	5461
568	7191	5447
569	7202	5433
570	7213	5419
571	7226	5407
572	7237	5393
573	7249	5380
574	7258	5365
575	7269	5350
576	7281	5338
577	7294	5325
578	7305	5311
579	7316	5298
580	7328	5284
