iter	RMSE
0	1194703.518
1	1165179.018
2	1136366.23
3	1109176.215
4	1082903.517
5	1057551.427
6	1032920.459
7	1008824.498
8	985787.9387
9	963624.1023
10	942361.253
11	921071.4408
12	901311.7788
13	881277.3293
14	862120.6337
15	844005.0182
16	826179.4813
17	809073.3464
18	792622.8468
19	776832.9229
20	761950.8755
21	747272.0245
22	731133.3256
23	715604.0439
24	700456.4721
25	685797.0218
26	672181.1518
27	658750.2347
28	645894.8083
29	633586.2224
30	621534.8553
31	610021.0831
32	599432.757
33	588758.3708
34	578537.9528
35	568651.4565
36	559173.8182
37	550187.7492
38	541512.2831
39	533029.4268
40	524918.1524
41	517234.3852
42	509773.8285
43	502793.0418
44	496221.4393
45	489895.0537
46	483848.2701
47	478167.172
48	472606.4555
49	467166.478
50	461961.5984
51	456915.3546
52	452008.349
53	447460.4309
54	443147.31
55	439114.1803
56	435048.6252
57	431606.255
58	427873.6705
59	423931.4425
60	420136.1014
61	416539.2758
62	413161.69
63	409843.0663
64	406529.2236
65	403556.6967
66	400548.9472
67	397914.5216
68	395206.8809
69	392793.8826
70	390405.794
71	388137.3268
72	385887.0944
73	383854.5944
74	381898.9618
75	380092.1048
76	378255.0529
77	376602.2999
78	375042.861
79	373508.4619
80	372073.9209
81	370702.6987
82	369421.4938
83	368213.1728
84	366847.0307
85	365598.5137
86	364467.3019
87	363287.9179
88	362191.9725
89	361180.3501
90	360300.2396
91	359504.4964
92	358502.3321
93	357844.9502
94	357049.4567
95	356260.8607
96	355512.7397
97	354834.7812
98	354144.8831
99	353412.917
100	352799.5616
101	352216.8386
102	351639.8032
103	351004.8293
104	350492.2939
105	350035.1917
106	349554.4617
107	349077.5918
108	348610.0573
109	348189.9504
110	347696.5344
111	347138.402
112	346697.5425
113	346335.401
114	345944.6294
115	345479.7433
116	344958.3475
117	344639.1105
118	344229.9176
119	343889.6382
120	343477.4838
121	343169.5522
122	342844.1956
123	342372.0357
124	342139.3968
125	341822.4254
126	341569.0796
127	341283.7382
128	340994.3765
129	340751.8864
130	340407.0038
131	340141.5875
132	339921.5306
133	339693.4924
134	339450.4203
135	339277.5807
136	339016.328
137	338763.0842
138	338569.6495
139	338336.4335
140	338005.0409
141	337786.8877
142	337613.5917
143	337393.4028
144	337181.9188
145	337021.0238
146	336770.3074
147	336547.5608
148	336331.891
149	336170.9107
150	335912.3489
151	335781.3954
152	335575.0545
153	335400.6144
154	335244.2633
155	335040.9101
156	334868.0149
157	334721.5666
158	334554.1488
159	334420.276
160	334279.8101
161	334146.8158
162	334021.2308
163	333916.599
164	333738.8872
165	333592.4343
166	333446.3316
167	333298.4317
168	333172.1794
169	333023.3275
170	332895.303
171	332767.2384
172	332626.0162
173	332460.4541
174	332338.4879
175	332248.8271
176	332171.836
177	332062.0077
178	331992.9744
179	331896.0412
180	331750.0499
181	331655.3748
182	331548.8106
183	331426.8834
184	331251.0827
185	331141.9029
186	331043.7899
187	330954.5428
188	330876.362
189	330815.6248
190	330753.417
191	330616.6201
192	330540.2747
193	330417.089
194	330364.4355
195	330290.1495
196	330225.7873
197	330115.9252
198	330027.1686
199	329908.2753
200	329839.4617
201	329762.7695
202	329646.5173
203	329553.9391
204	329489.6509
205	329410.3771
206	329244.4861
207	329185.818
208	329088.3988
209	328991.0204
210	328942.1105
211	328898.4593
212	328805.8288
213	328734.4859
214	328583.8891
215	328498.1085
216	328372.251
217	328290.2052
218	328136.2841
219	328115.2751
220	328006.0381
221	327812.5437
222	327679.1449
223	327652.1345
224	327606.0255
225	327517.9514
226	327428.8632
227	327356.9373
228	327258.718
229	327178.4928
230	327100.8056
231	326974.5763
232	326884.9857
233	326809.3715
234	326751.8424
235	326662.5739
236	326623.2383
237	326551.7281
238	326449.7868
239	326377.1783
240	326339.2497
241	326253.5266
242	326189.9871
243	326098.765
244	326067.2489
245	326024.2017
246	325901.5716
247	325722.2392
248	325664.6909
249	325644.6561
250	325613.5856
251	325485.8188
252	325465.2762
253	325365.2554
254	325206.1207
255	325103.6609
256	325025.873
257	324957.1944
258	324855.346
259	324777.0472
260	324662.321
261	324570.1862
262	324488.2892
263	324417.8692
264	324323.3949
265	324217.1205
266	324183.3074
267	324145.0219
268	324105.0369
269	324084.9142
270	324012.1964
271	323988.38
272	323919.9276
273	323854.4897
274	323782.1597
275	323775.6825
276	323742.6377
277	323664.9236
278	323609.035
279	323518.5887
280	323473.1063
281	323440.8902
282	323389.18
283	323277.0895
284	323199.7598
285	323143.9962
286	323101.9987
287	323029.6844
288	322992.7484
289	322910.5554
290	322870.4821
291	322740.6666
292	322690.0936
293	322623.9393
294	322529.5536
295	322471.7245
296	322422.7228
297	322354.8368
298	322303.2421
299	322227.2735
300	322183.9495
301	322138.0664
302	322067.0234
303	322059.3265
304	322018.0752
305	321897.9893
306	321856.5145
307	321804.9525
308	321751.5054
309	321636.439
310	321466.4979
311	321365.8996
312	321304.1197
313	321238.948
314	321238.9443
315	321223.8075
316	321151.6349
317	321105.5746
318	321048.6214
319	321005.1636
320	320973.5451
321	320910.8801
322	320848.7761
323	320773.1665
324	320730.0404
325	320718.6624
326	320711.7578
327	320558.3355
328	320527.5046
329	320496.8291
330	320429.7134
331	320314.4751
332	320231.4852
333	320180.7937
334	320171.3864
335	320079.9069
336	319941.7271
337	319916.3285
338	319864.1256
339	319796.6308
340	319758.4911
341	319685.1706
342	319638.4726
343	319587.7089
344	319527.6372
345	319470.0699
346	319408.0029
347	319370.4614
348	319232.5284
349	319166.8921
350	319070.5035
351	319056.2582
352	319018.2753
353	318985.7425
354	318826.3892
355	318745.6282
356	318734.6541
357	318671.0405
358	318654.4734
359	318593.884
360	318536.1548
361	318525.0567
362	318470.5395
363	318368.0766
364	318367.2686
365	318336.4902
366	318328.5643
367	318294.56
368	318267.7514
369	318200.7917
370	318136.9084
371	318051.1245
372	318019.3186
373	317959.2052
374	317951.9727
375	317900.0065
376	317857.4155
377	317808.0269
378	317715.8372
379	317646.4556
380	317554.2421
381	317439.5583
382	317370.1781
383	317301.024
384	317213.9863
385	317122.5869
386	316961.0876
387	316921.9679
388	316836.4831
389	316758.1367
390	316732.9725
391	316637.721
392	316618.6616
393	316612.517
394	316518.6672
395	316410.2387
396	316365.259
397	316296.9854
398	316221.326
399	316129.848
400	316090.2427
401	316066.4568
402	315988.1564
403	315841.4415
404	315750.7021
405	315745.9881
406	315692.0663
407	315612.9123
408	315528.4102
409	315441.9372
410	315369.5076
411	315331.1333
412	315228.406
413	315176.2981
414	315110.7326
415	315109.3479
416	315067.917
417	315022.7133
418	315017.1655
419	314935.0734
420	314856.1735
421	314833.5016
422	314789.3343
423	314690.6325
424	314669.4014
425	314612.1524
426	314543.5487
427	314516.3392
428	314511.8664
429	314486.0229
430	314436.0255
431	314423.1343
432	314402.8713
433	314354.0702
434	314310.9403
435	314204.0969
436	314163.0234
437	314119.0445
438	314081.0111
439	314038.2529
440	313958.5453
441	313944.741
442	313861.5732
443	313788.6357
444	313739.9497
445	313717.5204
446	313647.0422
447	313604.1935
448	313547.9426
449	313501.6676
450	313448.0519
451	313421.8055
452	313385.9835
453	313276.4887
454	313257.2549
455	313191.4752
456	313155.1066
457	313021.4554
458	313006.4273
459	312895.005
460	312807.9405
461	312717.0301
462	312678.1355
463	312667.8654
464	312642.1358
465	312604.6911
466	312542.2387
467	312517.108
468	312476.7571
469	312395.1069
470	312351.7485
471	312251.3884
472	312222.9728
473	312170.4178
474	312127.4128
475	312062.9339
476	311995.1827
477	311941.136
478	311901.5483
479	311876.2972
480	311778.4385
481	311752.1192
482	311732.8109
483	311727.9482
484	311689.0065
485	311629.2688
486	311605.3422
487	311561.593
488	311536.1438
489	311468.7422
490	311425.9706
491	311352.0148
492	311314.0333
493	311256.8747
494	311214.3512
495	311191.5717
496	311138.7211
497	311103.3335
498	311084.2919
499	311024.807
500	311003.0249
501	310949.6596
502	310885.7673
503	310820.5456
504	310789.8349
505	310765.1023
506	310699.0659
507	310689.0045
508	310660.9103
509	310626.1238
510	310558.7273
511	310513.9018
512	310474.9468
513	310454.987
514	310413.5716
515	310332.3788
516	310304.559
517	310216.2926
518	310211.6176
519	310192.6919
520	310169.3244
521	310149.5933
522	310088.5823
523	310027.1846
524	310022.4571
525	309993.2648
526	309984.1705
527	309962.5695
528	309911.8026
529	309817.5353
530	309799.4394
531	309726.4347
532	309693.42
533	309655.1734
534	309600.5685
535	309526.8191
536	309516.1416
537	309505.0209
538	309392.7817
539	309390.7281
540	309344.798
541	309318.4495
542	309246.8772
543	309234.5
544	309191.3028
545	309136.3556
546	309074.4943
547	309072.8976
548	309037.4885
549	308999.9039
550	308992.4321
551	308956.9145
552	308902.2961
553	308855.2349
554	308830.3626
555	308747.563
556	308710.2876
557	308684.3296
558	308680.4893
559	308661.6811
560	308625.9262
561	308615.8888
562	308559.8448
563	308502.2881
564	308487.3188
565	308406.4394
566	308352.929
567	308319.5552
568	308308.5716
569	308261.1668
570	308142.8665
571	308136.0484
572	308054.1661
573	308030.5299
574	307965.7421
575	307934.529
576	307906.1312
577	307856.7277
578	307848.0009
579	307811.6461
580	307793.5933
581	307668.3162
582	307611.0126
583	307609.9683
584	307609.311
585	307595.2516
586	307587.2444
587	307547.415
588	307519.7864
589	307479.8055
590	307461.6336
591	307460.4411
592	307453.54
593	307452.6048
594	307349.9636
595	307311.1558
596	307246.0174
597	307212.2714
598	307131.9377
599	307106.4868
600	307047.9488
601	307029.5859
602	307009.8319
603	306940.65
604	306902.7086
605	306772.8391
606	306735.3044
607	306709.3216
608	306594.5924
609	306578.676
610	306529.4162
611	306462.0235
612	306423.4203
613	306417.1056
614	306405.8901
615	306405.4276
616	306387.4462
617	306362.0184
618	306286.0759
619	306227.4916
620	306219.8994
621	306138.582
622	306137.8446
623	306087.8299
624	306026.6155
625	306020.9832
626	305991.945
627	305923.5221
628	305900.9538
629	305841.3384
630	305815.0099
631	305762.242
632	305752.461
633	305750.4708
634	305717.9984
635	305659.9711
636	305658.2489
637	305655.5765
638	305546.4283
639	305545.3888
640	305544.1744
641	305532.7859
642	305473.3002
643	305427.658
644	305414.2375
645	305349.8736
646	305344.1641
647	305333.8405
648	305275.2013
649	305274.6299
650	305248.528
651	305248.1618
652	305243.824
653	305240.7924
654	305238.815
655	305236.8535
