iter	Passed	Remaining
0	6	6737
1	10	5460
2	16	5355
3	21	5475
4	26	5182
5	30	5098
6	36	5158
7	41	5131
8	45	5022
9	51	5116
10	57	5197
11	61	5102
12	66	5038
13	71	5053
14	75	4982
15	79	4899
16	89	5160
17	95	5215
18	102	5303
19	107	5266
20	111	5196
21	117	5209
22	122	5182
23	126	5152
24	130	5077
25	135	5084
26	140	5046
27	147	5126
28	151	5072
29	157	5093
30	161	5036
31	167	5052
32	171	5025
33	176	5019
34	180	4982
35	185	4957
36	192	4997
37	197	5003
38	201	4966
39	205	4938
40	211	4957
41	217	4956
42	221	4919
43	224	4878
44	228	4849
45	238	4949
46	247	5025
47	251	4995
48	255	4959
49	259	4923
50	263	4896
51	267	4875
52	271	4856
53	275	4824
54	279	4810
55	284	4791
56	287	4762
57	292	4752
58	297	4742
59	302	4733
60	306	4724
61	311	4719
62	315	4693
63	319	4671
64	323	4648
65	328	4645
66	333	4645
67	337	4619
68	340	4594
69	345	4587
70	349	4572
71	353	4555
72	357	4537
73	361	4528
74	366	4514
75	370	4499
76	374	4487
77	378	4470
78	382	4459
79	386	4449
80	391	4437
81	395	4423
82	400	4421
83	404	4409
84	409	4411
85	413	4394
86	417	4382
87	422	4375
88	426	4367
89	430	4350
90	432	4324
91	436	4307
92	440	4294
93	444	4280
94	447	4264
95	450	4243
96	454	4228
97	458	4222
98	461	4203
99	465	4189
100	469	4176
101	472	4163
102	476	4153
103	480	4143
104	484	4131
105	488	4116
106	493	4116
107	497	4104
108	500	4092
109	504	4081
110	509	4078
111	514	4076
112	517	4063
113	520	4046
114	525	4042
115	529	4035
116	533	4023
117	537	4017
118	542	4014
119	546	4010
120	550	3998
121	554	3992
122	559	3988
123	564	3987
124	569	3983
125	573	3976
126	577	3967
127	581	3962
128	585	3955
129	590	3949
130	595	3950
131	599	3941
132	603	3935
133	609	3941
134	612	3927
135	617	3922
136	622	3923
137	626	3915
138	631	3912
139	634	3900
140	639	3897
141	643	3886
142	647	3882
143	651	3874
144	656	3869
145	660	3861
146	664	3855
147	669	3852
148	674	3852
149	679	3852
150	683	3845
151	688	3843
152	693	3839
153	697	3833
154	702	3832
155	709	3836
156	713	3831
157	717	3825
158	762	4031
159	775	4073
160	780	4067
161	785	4063
162	789	4055
163	793	4047
164	797	4038
165	803	4035
166	807	4029
167	812	4021
168	815	4011
169	819	4000
170	823	3994
171	827	3981
172	830	3969
173	834	3963
174	839	3955
175	843	3947
176	846	3937
177	850	3927
178	854	3918
179	858	3909
180	863	3905
181	868	3904
182	873	3900
183	880	3905
184	891	3925
185	901	3947
186	907	3944
187	914	3951
188	921	3952
189	924	3942
190	928	3933
191	932	3926
192	938	3923
193	942	3915
194	945	3903
195	949	3895
196	953	3888
197	959	3885
198	963	3879
199	969	3876
200	973	3869
201	977	3863
202	981	3854
203	986	3849
204	990	3841
205	994	3833
206	998	3823
207	1001	3815
208	1005	3805
209	1009	3799
210	1014	3792
211	1018	3785
212	1022	3779
213	1026	3769
214	1031	3764
215	1035	3757
216	1038	3748
217	1043	3741
218	1047	3736
219	1053	3734
220	1058	3732
221	1064	3731
222	1070	3730
223	1080	3743
224	1089	3751
225	1099	3766
226	1108	3775
227	1116	3781
228	1121	3776
229	1126	3772
230	1131	3766
231	1136	3762
232	1143	3764
233	1146	3754
234	1152	3753
235	1159	3752
236	1163	3745
237	1171	3751
238	1177	3749
239	1191	3773
240	1197	3771
241	1208	3784
242	1218	3796
243	1226	3800
244	1232	3798
245	1239	3800
246	1245	3796
247	1250	3791
248	1256	3790
249	1264	3793
250	1270	3791
251	1275	3786
252	1280	3780
253	1284	3773
254	1289	3765
255	1293	3758
256	1297	3751
257	1303	3748
258	1307	3742
259	1312	3735
260	1317	3729
261	1321	3721
262	1326	3717
263	1330	3710
264	1335	3703
265	1341	3700
266	1344	3691
267	1348	3684
268	1353	3677
269	1358	3672
270	1362	3666
271	1368	3663
272	1373	3657
273	1377	3650
274	1382	3643
275	1386	3637
276	1396	3643
277	1401	3640
278	1408	3639
279	1412	3631
280	1416	3625
281	1422	3620
282	1427	3615
283	1431	3609
284	1435	3601
285	1440	3596
286	1444	3589
287	1448	3580
288	1454	3577
289	1458	3571
290	1462	3564
291	1467	3557
292	1471	3550
293	1476	3545
294	1481	3541
295	1486	3535
296	1490	3528
297	1495	3521
298	1500	3518
299	1506	3515
300	1511	3509
301	1514	3501
302	1518	3494
303	1523	3487
304	1526	3478
305	1530	3472
306	1535	3467
307	1540	3460
308	1544	3454
309	1549	3448
310	1552	3440
311	1559	3438
312	1562	3430
313	1568	3425
314	1569	3413
315	1573	3406
316	1578	3400
317	1583	3395
318	1588	3390
319	1591	3382
320	1596	3376
321	1601	3373
322	1607	3369
323	1613	3366
324	1618	3361
325	1622	3354
326	1626	3347
327	1630	3341
328	1636	3337
329	1640	3330
330	1645	3325
331	1650	3319
332	1654	3314
333	1660	3310
334	1664	3303
