iter	Passed	Remaining
0	5	5280
1	9	4911
2	13	4498
3	19	4961
4	23	4773
5	27	4554
6	32	4556
7	38	4762
8	42	4703
9	46	4602
10	49	4456
11	54	4452
12	58	4436
13	62	4370
14	67	4406
15	71	4376
16	74	4300
17	79	4336
18	83	4320
19	88	4316
20	91	4266
21	95	4230
22	101	4319
23	105	4286
24	109	4260
25	113	4242
26	117	4241
27	122	4247
28	126	4245
29	130	4233
30	133	4171
31	136	4124
32	140	4111
33	145	4123
34	150	4141
35	154	4140
36	158	4124
37	161	4092
38	165	4069
39	169	4061
40	179	4209
41	185	4231
42	189	4212
43	191	4168
44	195	4138
45	201	4177
46	206	4189
47	210	4166
48	213	4148
49	218	4148
50	222	4135
51	225	4116
52	230	4121
53	235	4119
54	239	4121
55	244	4116
56	248	4110
57	252	4098
58	256	4085
59	262	4118
60	268	4136
61	276	4180
62	284	4232
63	293	4289
64	299	4302
65	303	4297
66	306	4270
67	310	4252
68	313	4234
69	317	4217
70	320	4197
71	325	4197
72	330	4195
73	334	4184
74	337	4165
75	341	4149
76	346	4154
77	351	4150
78	354	4136
79	358	4122
80	363	4120
81	369	4136
82	378	4179
83	383	4185
84	388	4182
85	392	4173
86	397	4170
87	401	4158
88	405	4152
89	408	4134
90	413	4130
91	418	4128
92	422	4124
93	426	4111
94	430	4102
95	440	4145
96	449	4182
97	455	4187
98	483	4402
99	490	4418
100	496	4421
101	502	4425
102	509	4439
103	515	4445
104	522	4453
105	529	4469
106	536	4480
107	542	4481
108	546	4468
109	551	4459
110	554	4443
111	557	4420
112	560	4400
113	564	4389
114	568	4371
115	571	4356
116	575	4341
117	578	4325
118	582	4315
119	586	4300
120	590	4286
121	595	4283
122	599	4273
123	602	4258
124	607	4250
125	611	4238
126	616	4234
127	619	4222
128	623	4209
129	627	4200
130	632	4197
131	643	4234
132	651	4248
133	662	4280
134	666	4272
135	671	4266
136	676	4263
137	680	4253
138	684	4240
139	687	4224
140	691	4215
141	698	4219
142	702	4211
143	706	4198
144	710	4192
145	715	4184
146	719	4172
147	723	4166
148	728	4159
149	732	4149
150	736	4139
151	739	4127
152	743	4117
153	747	4107
154	751	4096
155	753	4078
156	757	4069
157	763	4066
158	766	4056
159	771	4047
160	776	4044
161	780	4035
162	784	4028
163	789	4026
164	794	4019
165	798	4013
166	803	4005
167	806	3995
168	810	3984
169	814	3976
170	818	3968
171	822	3958
172	825	3947
173	829	3939
174	834	3933
175	837	3922
176	846	3935
177	862	3982
178	875	4015
179	889	4053
180	896	4056
181	900	4046
182	903	4034
183	907	4026
184	913	4024
185	917	4016
186	921	4006
187	930	4018
188	934	4010
189	938	3998
190	942	3991
191	946	3982
192	950	3972
193	953	3961
194	958	3955
195	961	3945
196	965	3936
197	969	3927
198	973	3918
199	977	3910
200	984	3914
201	988	3903
202	989	3886
203	994	3881
204	999	3874
205	1002	3865
206	1007	3859
207	1011	3850
208	1015	3844
209	1019	3836
210	1025	3834
211	1030	3828
212	1034	3821
213	1037	3811
214	1042	3806
215	1044	3792
216	1049	3787
217	1054	3783
218	1060	3780
219	1063	3771
220	1067	3762
221	1070	3751
222	1075	3748
223	1080	3743
224	1084	3735
225	1088	3727
226	1093	3723
227	1096	3713
228	1100	3706
229	1104	3697
230	1108	3689
231	1111	3679
232	1115	3672
233	1120	3666
234	1124	3660
235	1128	3653
236	1132	3646
237	1136	3640
238	1140	3632
239	1144	3625
240	1147	3612
241	1150	3603
242	1154	3596
243	1157	3585
244	1161	3578
245	1165	3571
246	1169	3565
247	1173	3558
248	1177	3551
249	1181	3544
250	1186	3540
251	1192	3538
252	1196	3531
253	1200	3524
254	1203	3517
255	1209	3514
256	1213	3506
257	1217	3500
258	1221	3494
259	1225	3488
260	1229	3480
261	1233	3473
262	1235	3462
263	1239	3456
264	1243	3449
265	1246	3438
266	1249	3430
267	1253	3424
268	1256	3415
269	1261	3409
270	1264	3401
271	1268	3394
272	1273	3390
273	1277	3384
274	1284	3385
275	1288	3380
276	1291	3371
277	1295	3364
278	1299	3356
279	1301	3345
280	1305	3339
281	1309	3334
282	1313	3328
283	1318	3323
284	1321	3316
285	1325	3309
286	1330	3306
287	1334	3299
288	1340	3296
289	1343	3290
290	1348	3285
291	1351	3277
292	1358	3277
293	1362	3271
294	1366	3265
295	1375	3270
296	1380	3267
