iter	RMSE
0	1198733.944
1	1169113.96
2	1140090.225
3	1112561.607
4	1085440.431
5	1059565.728
6	1034762.532
7	1010514.647
8	987078.4481
9	964563.5004
10	943067.5399
11	922209.127
12	900441.0807
13	879320.7715
14	859098.8311
15	839545.9298
16	820471.5722
17	802024.5658
18	784349.515
19	768047.3939
20	751450.4004
21	735396.0915
22	720375.7407
23	705683.4853
24	691297.1843
25	677565.6945
26	664337.2693
27	651323.9128
28	639181.1707
29	627301.5218
30	616583.6883
31	605650.2017
32	594832.1781
33	585077.4623
34	575432.172
35	566650.8325
36	557878.7012
37	549164.3197
38	540728.0527
39	532908.3498
40	525251.0688
41	517839.3603
42	510708.3489
43	504645.7796
44	498473.4018
45	492314.8339
46	486304.7466
47	480486.7779
48	475220.8014
49	470005.3036
50	464958.6311
51	460267.1317
52	455652.343
53	451204.9451
54	446975.3229
55	442967.0383
56	439225.1996
57	435598.7764
58	432091.634
59	428606.3516
60	425261.6363
61	422307.6459
62	418993.5271
63	415903.1129
64	412804.4368
65	410070.6324
66	407283.7471
67	404731.3948
68	402307.0759
69	400292.2407
70	397917.1246
71	395651.3153
72	393445.8684
73	391447.7993
74	389454.2521
75	387682.001
76	386104.4136
77	384439.1497
78	382789.2457
79	381270.9087
80	379774.1811
81	378431.4177
82	377125.4453
83	376001.1139
84	374816.0429
85	373579.1451
86	372604.4568
87	371469.0447
88	370438.2837
89	369622.1054
90	368686.5523
91	367726.3045
92	366832.6888
93	365889.4966
94	365090.1615
95	364309.0693
96	363552.4134
97	362871.9303
98	362125.5307
99	361492.5591
100	360833.4463
101	360193.2473
102	359499.6702
103	358952.4387
104	358388.1448
105	357894.4211
106	357365.9049
107	356877.2384
108	356306.5138
109	355827.5337
110	355390.5151
111	355033.7619
112	354687.411
113	354266.6763
114	353864.7091
115	353500.2319
116	353078.6009
117	352704.8728
118	352258.0788
119	351901.217
120	351531.9927
121	351183.7874
122	350779.7809
123	350477.607
124	350149.2809
125	349766.945
126	349436.3736
127	349120.005
128	348787.9183
129	348517.4982
130	348181.5892
131	347958.5007
132	347712.1236
133	347394.1619
134	347201.582
135	346871.4211
136	346638.4493
137	346494.4783
138	346280.1351
139	346090.9722
140	345833.8173
141	345682.6522
142	345522.3638
143	345312.7453
144	345089.3749
145	344922.1379
146	344660.4016
147	344401.8014
148	344231.5886
149	343994.8079
150	343827.9244
151	343570.2045
152	343311.2048
153	343150.1616
154	342990.5988
155	342932.9693
156	342840.228
157	342616.0578
158	342395.1629
159	342094.3712
160	341913.7856
161	341771.8487
162	341471.7058
