iter	Passed	Remaining
0	11	11278
1	21	10946
2	32	10688
3	41	10440
4	50	10132
5	57	9508
6	66	9478
7	78	9724
8	87	9681
9	97	9656
10	108	9788
11	119	9877
12	129	9842
13	139	9829
14	149	9795
15	158	9719
16	167	9710
17	177	9663
18	188	9723
19	199	9761
20	247	11532
21	266	11845
22	288	12240
23	303	12345
24	319	12441
25	329	12360
26	348	12552
27	380	13221
28	397	13311
29	412	13345
30	426	13327
31	451	13671
32	466	13659
33	487	13840
34	516	14235
35	538	14408
36	550	14340
37	563	14264
38	575	14182
39	587	14108
40	597	13976
41	610	13934
42	621	13835
43	632	13735
44	642	13641
45	654	13571
46	664	13476
47	674	13371
48	685	13309
49	696	13227
50	706	13140
51	715	13047
52	728	13022
53	740	12974
54	750	12894
55	995	16773
56	1006	16645
57	1016	16507
58	1025	16348
59	1033	16190
60	1042	16043
61	1051	15909
62	1060	15767
63	1069	15643
64	1077	15500
65	1087	15383
66	1096	15275
67	1107	15180
68	1116	15066
69	1125	14949
70	1135	14851
71	1144	14749
72	1153	14653
73	1162	14547
74	1171	14449
75	1179	14342
76	1190	14268
77	1200	14186
78	1210	14108
79	1220	14031
80	1238	14053
81	1269	14212
82	1278	14129
83	1289	14062
84	1301	14008
85	1313	13958
86	1328	13938
87	1339	13883
88	1345	13776
89	1355	13701
90	1366	13654
91	1377	13595
92	1386	13522
93	1396	13457
94	1407	13405
95	1419	13364
96	1429	13303
97	1439	13253
98	1450	13205
99	1462	13158
100	1472	13105
101	1482	13052
102	1494	13017
103	1505	12970
104	1517	12937
105	1529	12900
106	1535	12816
107	1543	12750
108	1551	12686
109	1559	12620
110	1567	12551
111	1576	12495
112	1585	12443
113	1594	12393
114	1603	12339
115	1612	12285
116	1621	12239
117	1629	12183
118	1639	12135
119	1647	12083
120	1657	12039
121	1667	12002
122	1676	11950
123	1684	11901
124	1693	11857
125	1702	11811
126	1711	11767
127	1720	11717
128	1728	11670
129	1736	11618
130	1745	11578
131	1754	11536
132	1762	11490
133	1772	11452
134	1780	11410
135	1788	11363
136	1797	11325
137	1808	11294
138	1822	11285
139	1833	11262
140	1845	11241
141	1854	11205
142	1864	11172
143	1874	11140
144	1883	11106
145	1892	11069
146	1901	11032
147	1910	11000
148	1919	10964
149	1928	10927
150	1937	10892
151	1945	10856
152	1956	10829
153	1965	10798
154	1977	10778
155	1987	10755
156	2033	10919
157	2046	10904
158	2064	10918
159	2077	10904
160	2091	10896
161	2103	10878
162	2115	10864
163	2127	10844
164	2141	10837
165	2153	10817
166	2166	10806
167	2178	10786
168	2189	10767
169	2201	10746
170	2211	10723
171	2221	10692
172	2230	10662
173	2240	10634
174	2249	10604
175	2257	10568
176	2266	10540
177	2277	10516
178	2288	10496
179	2297	10466
180	2306	10436
181	2317	10417
182	2326	10387
183	2337	10365
184	2348	10345
185	2358	10320
186	2367	10291
187	2377	10268
188	2387	10243
189	2398	10224
190	2407	10198
191	2418	10179
192	2428	10154
193	2440	10138
194	2449	10110
195	2458	10086
196	2471	10073
197	2498	10122
198	2509	10101
199	2519	10076
200	2529	10053
201	2538	10028
202	2547	9999
203	2555	9973
204	2563	9939
205	2573	9918
206	2582	9892
207	2590	9864
208	2600	9843
209	2610	9819
210	2619	9795
211	2630	9776
212	2639	9752
213	2648	9727
214	2658	9705
215	2664	9671
216	2676	9657
217	2688	9644
218	2706	9651
219	2723	9654
220	2731	9627
221	2741	9607
222	2750	9583
223	2761	9565
224	2771	9545
