iter	RMSE
0	1183599.256
1	1154092.931
2	1125974.744
3	1098295.703
4	1071854.953
5	1046003.111
6	1021270.12
7	997282.0488
8	973804.9087
9	951150.598
10	929514.5641
11	908275.0493
12	888660.2575
13	869394.486
14	850797.5716
15	831181.5197
16	812846.1835
17	794196.9694
18	776388.0715
19	759135.0238
20	742999.1469
21	726845.8955
22	711518.9214
23	696973.3232
24	682551.7269
25	668589.7915
26	655038.6125
27	642358.9722
28	630102.9981
29	618150.2048
30	606508.0724
31	595553.8669
32	584680.2507
33	574324.3837
34	564489.4853
35	555631.1831
36	547032.5806
37	538370.0195
38	530022.8581
39	521912.7871
40	514118.4897
41	506616.6174
42	499644.7193
43	492823.3488
44	485993.1326
45	479602.8143
46	473652.1189
47	467994.9196
48	462630.1443
49	457334.9791
50	452147.351
51	447387.203
52	442757.1514
53	438318.1335
54	433990.1842
55	429843.329
56	425820.4449
57	421941.4923
58	418180.8195
59	414635.1098
60	411355.7386
61	408348.1076
62	405364.5874
63	402601.5742
64	399977.5226
65	397207.7218
66	394682.9796
67	392300.5855
68	390233.0445
69	388048.4841
70	385961.5098
71	384043.3762
72	382211.3115
73	380417.493
74	378733.7825
75	376973.7029
76	375398.4233
77	373851.704
78	372417.4579
79	371053.5607
80	369651.2675
81	368353.3693
82	367234.4079
83	366025.4042
84	364848.5658
85	363808.0619
86	362763.3245
87	361727.618
88	360867.6623
89	359858.9743
90	359057.8837
91	358155.8734
92	357275.4081
93	356452.4423
94	355482.5664
95	354590.3009
96	353818.6318
97	353099.2602
98	352295.7112
99	351470.3669
100	350705.2622
101	350044.2395
102	349451.0308
103	348913.8911
104	348337.6625
105	347739.6063
106	347090.1322
107	346541.4582
108	346093.9047
109	345565.5108
110	345100.0425
111	344727.6863
112	344257.7087
113	343844.7547
114	343338.0717
115	342956.1102
116	342581.3127
117	342209.139
118	341858.5588
119	341517.1786
120	341161.2903
121	340719.8826
122	340347.5554
123	340028.6101
124	339642.9513
125	339386.89
126	339087.6207
127	338790.5268
128	338490.0326
129	338270.4811
130	337942.9842
131	337637.6727
132	337349.5993
133	337052.5101
134	336811.8392
135	336649.7231
136	336419.3577
137	336156.4538
138	335914.1996
139	335727.0229
140	335439.9464
141	335234.719
142	335001.9574
143	334837.5473
144	334608.9606
145	334401.7878
146	334085.8111
147	333935.8585
148	333740.1414
149	333508.0778
150	333328.0293
151	333103.3594
152	333004.8894
153	332854.6842
154	332646.7101
155	332469.4997
156	332277.9264
157	332091.4156
158	331946.956
159	331780.5713
160	331677.0066
161	331544.2776
162	331312.0946
163	331162.978
164	330977.8777
165	330818.044
166	330641.2534
167	330502.4952
168	330413.1776
169	330362.4249
170	330264.0016
171	330078.5266
172	329885.4462
173	329731.443
174	329526.8959
175	329452.9007
176	329311.2134
177	329158.171
178	329043.5449
179	328922.1146
180	328752.286
181	328614.6998
182	328488.4967
183	328403.7922
184	328285.5228
185	328174.3969
186	328066.2535
187	327969.7729
188	327820.2051
189	327708.6847
190	327536.3416
191	327441.6301
192	327363.8113
193	327227.0347
194	327136.9442
195	326984.087
196	326936.14
197	326850.0415
198	326796.5055
199	326692.3211
200	326530.1944
201	326415.0566
202	326250.4922
203	326152.3102
204	326130.0833
205	326050.2847
206	326027.1866
207	325920.2682
208	325866.5048
209	325758.997
210	325663.4652
211	325526.9917
212	325457.5935
213	325348.2538
214	325269.2496
215	325235.1316
216	325126.8001
217	325075.5851
218	324918.9443
219	324861.217
220	324699.4952
221	324632.774
222	324558.6761
223	324453.6238
224	324385.6776
225	324305.7655
226	324241.6616
227	324112.935
228	324081.4842
229	324000.0959
230	323961.7816
231	323863.78
232	323774.4333
233	323719.5475
234	323697.4089
235	323550.2325
236	323472.9393
237	323396.57
238	323374.9092
239	323295.0443
240	323256.2981
241	323166.7628
242	323163.1518
243	323157.9347
244	323058.7568
245	322964.639
246	322926.4631
247	322897.9896
248	322812.7265
249	322791.9524
250	322719.9784
251	322708.9158
252	322603.2904
253	322525.7009
