iter	Passed	Remaining
0	11	11330
1	17	8827
2	22	7365
3	26	6684
4	31	6233
5	36	5973
6	40	5811
7	48	6075
8	57	6311
9	62	6159
10	67	6041
11	72	6007
12	78	5931
13	88	6201
14	97	6381
15	101	6243
16	106	6172
17	112	6126
18	117	6042
19	121	5942
20	133	6239
21	138	6146
22	146	6207
23	148	6047
24	157	6138
25	168	6304
26	174	6305
27	181	6289
28	199	6676
29	204	6615
30	212	6631
31	218	6605
32	221	6499
33	228	6495
34	234	6454
35	240	6428
36	245	6376
37	252	6382
38	257	6351
39	264	6336
40	267	6267
41	273	6237
42	277	6172
43	282	6134
44	308	6549
45	315	6536
46	335	6793
47	340	6759
48	347	6746
49	357	6788
50	365	6793
51	371	6779
52	378	6770
53	384	6740
54	391	6720
55	397	6702
56	405	6702
57	413	6708
58	418	6678
59	424	6649
60	430	6631
61	436	6607
62	443	6591
63	449	6569
64	453	6523
65	459	6501
66	464	6468
67	471	6467
68	476	6422
69	481	6397
70	492	6444
71	498	6429
72	507	6443
73	512	6408
74	516	6365
75	524	6374
76	530	6362
77	535	6328
78	541	6311
79	545	6273
80	551	6256
81	556	6230
82	559	6183
83	564	6156
84	570	6144
85	576	6124
86	580	6095
87	588	6096
88	596	6103
89	603	6097
90	610	6099
91	614	6060
92	619	6042
93	627	6052
94	632	6025
95	637	5999
96	646	6019
97	653	6016
98	659	5999
99	661	5950
100	667	5937
101	671	5909
102	676	5892
103	679	5857
104	684	5838
105	689	5815
106	695	5804
107	700	5786
108	705	5765
109	709	5741
110	714	5724
111	720	5711
112	725	5696
113	730	5678
114	736	5669
115	740	5645
116	746	5631
117	750	5613
118	755	5589
119	758	5563
120	763	5549
121	779	5607
122	787	5618
123	791	5592
124	798	5588
125	805	5590
126	811	5577
127	817	5569
128	825	5574
129	831	5565
130	836	5546
131	842	5539
132	845	5508
133	853	5512
134	858	5499
135	864	5492
136	872	5496
137	877	5482
138	886	5491
139	891	5475
140	898	5475
141	906	5478
142	911	5463
143	921	5479
144	931	5493
145	940	5500
146	944	5480
147	951	5477
148	957	5468
149	966	5477
150	971	5464
151	976	5445
152	982	5438
153	987	5424
154	993	5415
155	1000	5413
156	1005	5397
157	1010	5386
158	1023	5413
159	1030	5407
160	1035	5398
161	1044	5403
162	1049	5390
163	1054	5372
164	1059	5361
165	1063	5341
166	1067	5325
167	1072	5310
168	1082	5323
169	1090	5325
170	1099	5329
171	1103	5312
172	1106	5288
173	1111	5277
174	1116	5262
175	1122	5256
176	1127	5240
177	1132	5230
178	1137	5218
179	1142	5205
180	1149	5201
181	1151	5176
182	1158	5172
183	1164	5165
184	1168	5149
185	1172	5132
186	1178	5125
187	1184	5117
188	1188	5098
189	1191	5081
190	1197	5071
191	1201	5055
192	1206	5045
193	1212	5036
194	1217	5026
195	1222	5014
196	1229	5010
197	1233	4997
198	1239	4987
199	1245	4980
200	1250	4968
201	1256	4962
202	1263	4959
203	1267	4943
204	1271	4931
205	1278	4927
206	1282	4914
207	1287	4901
208	1314	4974
209	1323	4979
210	1343	5023
211	1351	5023
212	1358	5018
213	1362	5005
214	1370	5003
215	1375	4993
216	1389	5014
217	1397	5012
218	1405	5013
219	1412	5007
220	1418	5000
221	1425	4994
222	1433	4996
223	1442	4998
224	1453	5005
225	1464	5014
226	1470	5008
227	1478	5004
228	1486	5003
229	1492	4996
230	1499	4993
231	1508	4994
232	1518	4997
233	1524	4991
234	1530	4981
235	1536	4972
236	1541	4962
237	1548	4957
238	1554	4950
239	1558	4936
240	1563	4923
241	1569	4915
242	1576	4910
243	1579	4894
244	1584	4884
245	1591	4879
246	1596	4866
247	1601	4855
248	1607	4848
249	1613	4839
250	1618	4830
251	1623	4819
252	1628	4808
253	1633	4796
254	1637	4784
255	1641	4769
256	1647	4761
257	1653	4754
258	1658	4743
259	1660	4726
260	1667	4720
261	1672	4710
262	1677	4700
263	1682	4689
264	1687	4679
265	1691	4666
266	1696	4656
267	1702	4650
268	1708	4642
