iter	RMSE
0	1191760.871
1	1162432.628
2	1133353.062
3	1105339.979
4	1078411.073
5	1052744.754
6	1027514.729
7	1003052.516
8	979396.4925
9	957406.8807
10	935817.1754
11	914535.8254
12	894387.5217
13	872895.663
14	852238.8109
15	832178.3444
16	812768.703
17	794655.6579
18	776611.1614
19	759361.8438
20	742506.2145
21	726301.4746
22	710931.9901
23	696892.0798
24	682507.478
25	668488.6877
26	654968.3697
27	642049.5645
28	630050.8002
29	617979.1989
30	606286.193
31	595138.655
32	584540.8438
33	574316.5464
34	565315.5945
35	555590.6629
36	546402.6161
37	537596.5964
38	529231.4
39	521519.2467
40	513907.6153
41	506318.4116
42	499258.9509
43	492729.5513
44	486341.586
45	480368.378
46	474669.8061
47	468740.3616
48	463386.1591
49	458167.8945
50	453567.9943
51	448556.7752
52	443724.8827
53	439039.4042
54	434704.5287
55	430705.4778
56	426702.6442
57	422868.0658
58	419158.4274
59	416060.4584
60	412989.1856
61	409926.5196
62	406932.2275
63	403941.2199
64	401159.0295
65	398474.6752
66	395971.4412
67	393578.5149
68	391259.5294
69	389158.872
70	387044.5117
71	384982.4151
72	382958.7011
73	381115.596
74	379357.8362
75	377671.627
76	375982.888
77	374559.5718
78	373022.8327
79	371621.8952
80	370284.2118
81	368970.8851
82	367938.0569
83	366774.1986
84	365641.8482
85	364593.9926
86	363578.8109
87	362438.9422
88	361350.0747
89	360444.4449
90	359611.59
91	358759.7035
92	357900.8514
93	357137.1608
94	356295.0694
95	355554.6776
96	354889.5092
97	354170.193
98	353528.4956
99	353151.0242
100	352446.9242
101	351879.1147
102	351324.429
103	350837.5118
104	350308.2226
105	349765.461
106	349319.8299
107	348823.123
108	348344.9978
109	347910.1801
110	347480.061
111	346922.6566
112	346534.3905
113	346181.6259
114	345853.0336
115	345481.2737
116	345128.0909
117	344728.1727
118	344396.6204
119	344062.8423
120	343712.9104
121	343399.8662
122	343105.2267
123	342732.7991
124	342421.2203
125	342156.0225
126	341929.2609
127	341620.7642
128	341420.2061
129	341178.1057
130	340862.7894
131	340621.0013
132	340460.9487
133	340187.0526
134	339881.7519
135	339692.233
136	339492.181
137	339306.7845
138	339090.7653
139	338872.6444
140	338658.3272
141	338388.4171
142	338132.2193
143	337936.0696
144	337811.6891
145	337569.6424
146	337302.6061
147	337119.0007
148	336950.9028
149	336811.3123
150	336599.3476
151	336393.4554
152	336159.8678
153	335982.6726
154	335822.3392
155	335714.5091
156	335653.6916
157	335511.8006
158	335362.3387
159	335157.3639
160	334921.5418
161	334777.2481
162	334678.4359
163	334529.6987
164	334400.3374
165	334348.1862
166	334216.4672
167	334060.1408
168	333914.5415
169	333776.4957
170	333542.2654
171	333429.3746
172	333390.6744
173	333172.1796
174	333100.777
175	333038.3786
176	332851.4643
177	332743.5405
178	332665.6987
179	332503.1846
180	332434.6018
181	332420.0452
182	332336.002
183	332249.1461
184	332180.8392
185	332105.0992
186	332060.9913
187	331975.6162
188	331827.1517
189	331683.5243
190	331569.1194
191	331505.2265
192	331425.9273
193	331355.9083
194	331197.1078
195	331131.6994
196	331065.0893
197	331014.1034
198	330912.7934
199	330776.1648
200	330694.3416
201	330657.1506
202	330457.9405
203	330341.0478
204	330217.9277
205	330196.5749
206	330122.2995
207	330011.1362
208	329975.7422
209	329870.4143
210	329780.5888
211	329710.7787
212	329619.8029
213	329549.6659
214	329449.3659
215	329387.4773
216	329355.0691
217	329290.0365
218	329206.5522
219	329053.0602
220	329035.3739
221	328986.5587
222	328924.3048
223	328873.2168
224	328826.4788
225	328777.9518
226	328737.4274
227	328658.0159
228	328580.3805
229	328462.7599
230	328406.7022
231	328275.1747
232	328164.8375
233	328112.9466
234	328015.3184
235	327933.399
236	327853.1753
237	327830.9941
238	327723.7492
239	327695.0508
240	327671.389
241	327624.8052
242	327607.9837
243	327545.4696
244	327477.5663
245	327443.3746
246	327368.6588
247	327253.9477
248	327146.5952
249	327038.0047
250	326989.1835
251	326863.1125
252	326811.447
253	326770.4195
254	326719.3495
255	326675.5755
256	326582.4487
257	326547.6336
258	326512.2615
259	326510.4723
260	326451.4456
261	326363.3194
262	326337.2614
263	326295.6341
264	326279.1655
265	326201.7911
266	326165.7733
267	326085.7501
268	326029.0874
269	325963.1213
270	325937.2848
271	325843.6667
272	325758.1403
273	325599.2679
274	325496.9747
275	325451.4487
276	325415.7013
